epoch,loss,mae,val_loss,val_mae
1,0.34902557730674744,0.4307175278663635,0.2181936800479889,0.3118789494037628
2,0.1637224406003952,0.2367217093706131,0.12320725619792938,0.19894610345363617
3,0.0967065691947937,0.16824093461036682,0.07508648931980133,0.14160609245300293
4,0.06586862355470657,0.1295873075723648,0.059858109802007675,0.12292738258838654
5,0.055342137813568115,0.11643734574317932,0.05129866674542427,0.11093143373727798
6,0.04824826866388321,0.1066858172416687,0.045042023062705994,0.10128211230039597
7,0.04324941709637642,0.0998038500547409,0.04060018062591553,0.09489298611879349
8,0.03933951258659363,0.09420160204172134,0.037094101309776306,0.08941642194986343
9,0.036157432943582535,0.08941075950860977,0.03409656882286072,0.08476521819829941
10,0.03357543796300888,0.08550387620925903,0.0317196287214756,0.08132661879062653
11,0.03133011609315872,0.08189631998538971,0.029572537168860435,0.07821420580148697
12,0.029397670179605484,0.07885344326496124,0.027584416791796684,0.07577654719352722
13,0.027753937989473343,0.07621004432439804,0.02585701458156109,0.07335370779037476
14,0.02640465833246708,0.07379654794931412,0.024313684552907944,0.07019511610269547
15,0.025217587128281593,0.07166755944490433,0.023048540577292442,0.06836040318012238
16,0.024169884622097015,0.06982441246509552,0.02193991094827652,0.06656268239021301
17,0.023263687267899513,0.06810611486434937,0.020991984754800797,0.06524540483951569
18,0.022519785910844803,0.06672004610300064,0.020163478329777718,0.06397929042577744
19,0.021812206134200096,0.06526853889226913,0.01933538168668747,0.06299955397844315
20,0.02118593640625477,0.06385134905576706,0.01855316571891308,0.062283892184495926
21,0.020561231300234795,0.062479328364133835,0.01790834218263626,0.06155359745025635
22,0.020020119845867157,0.06127484515309334,0.017297478392720222,0.06104172021150589
23,0.01947222836315632,0.060048699378967285,0.016887055709958076,0.06116278097033501
24,0.018947379663586617,0.05878561735153198,0.016461582854390144,0.061058394610881805
25,0.018478479236364365,0.05770278722047806,0.015778925269842148,0.05921143665909767
26,0.018028944730758667,0.056629519909620285,0.015119755640625954,0.05752800777554512
27,0.01757386513054371,0.05560909956693649,0.014576142653822899,0.056022774428129196
28,0.01721276342868805,0.05493509769439697,0.014122922904789448,0.054968636482954025
29,0.016847308725118637,0.05428836867213249,0.013844279572367668,0.0549774207174778
30,0.016526680439710617,0.05371641740202904,0.013508663512766361,0.05412035435438156
31,0.016241420060396194,0.05322069302201271,0.013007543049752712,0.052868593484163284
32,0.015930427238345146,0.05265146493911743,0.01269033458083868,0.051994454115629196
33,0.015657244250178337,0.05215034261345863,0.012302226386964321,0.05074012279510498
34,0.015307627618312836,0.051507674157619476,0.011933996342122555,0.04977134242653847
35,0.015034657903015614,0.051024891436100006,0.01146553922444582,0.04813525080680847
36,0.014733020216226578,0.05041341856122017,0.01104546058923006,0.046822689473629
37,0.014431942254304886,0.049750443547964096,0.010813022032380104,0.04648614674806595
38,0.014195782132446766,0.04925573617219925,0.010567397810518742,0.04574912413954735
39,0.013981827534735203,0.0488269068300724,0.010296220891177654,0.045291267335414886
40,0.013768818229436874,0.04835599660873413,0.010010295547544956,0.04471256211400032
41,0.01355732511729002,0.04788731783628464,0.009831673465669155,0.04396166279911995
42,0.013355346396565437,0.047533631324768066,0.009610023349523544,0.04346136003732681
43,0.013229157775640488,0.04729294776916504,0.009400787763297558,0.04285810515284538
44,0.013070743530988693,0.0469202920794487,0.009293989278376102,0.0425865463912487
45,0.01292607095092535,0.046590834856033325,0.009063893929123878,0.04189389944076538
46,0.012765159830451012,0.0462041050195694,0.008867334574460983,0.04161863029003143
47,0.012602667324244976,0.045923177152872086,0.008729209192097187,0.04138625040650368
48,0.012449046596884727,0.04561693221330643,0.008595912717282772,0.041172776371240616
49,0.012296301312744617,0.04526420310139656,0.008398733101785183,0.04057278111577034
50,0.012143799103796482,0.0450122095644474,0.008271474391222,0.04017772898077965
51,0.012046093121170998,0.04481533169746399,0.00816434621810913,0.039910271763801575
52,0.01197762880474329,0.044727396219968796,0.00803243275731802,0.039665207266807556
53,0.011861239559948444,0.04460275545716286,0.007923906669020653,0.03946712985634804
54,0.011763767339289188,0.044396307319402695,0.007721385918557644,0.03907296061515808
55,0.01168350875377655,0.04412680119276047,0.007701595779508352,0.0389808751642704
56,0.011589538305997849,0.044004928320646286,0.0075672948732972145,0.038842737674713135
57,0.011494300328195095,0.043892547488212585,0.007519829552620649,0.0384753942489624
58,0.011381403543055058,0.04364154860377312,0.007445714436471462,0.03853551298379898
59,0.011348804458975792,0.043597590178251266,0.0073158228769898415,0.03828897699713707
60,0.011300347745418549,0.043478820472955704,0.007424530107527971,0.03840164840221405
61,0.011246871203184128,0.04340549185872078,0.007377182599157095,0.03835614025592804
62,0.011160479858517647,0.04323425143957138,0.007268576417118311,0.03804245963692665
63,0.011059721000492573,0.04303339496254921,0.007280102930963039,0.038137488067150116
64,0.01104655023664236,0.042988989502191544,0.007077536080032587,0.03750098496675491
65,0.010937528684735298,0.042802754789590836,0.007196304388344288,0.03774658963084221
66,0.01097153127193451,0.042848072946071625,0.007184537593275309,0.03768124803900719
67,0.010854370892047882,0.04258956387639046,0.007049186620861292,0.037188343703746796
68,0.010828628204762936,0.042502257972955704,0.007089361548423767,0.03732774779200554
69,0.010816260240972042,0.042463432997465134,0.006925998721271753,0.03695858269929886
70,0.010762898251414299,0.042366817593574524,0.0067817880772054195,0.03689928352832794
71,0.010721081867814064,0.04209556803107262,0.006890651769936085,0.03714422509074211
72,0.010668674483895302,0.042002592235803604,0.0067434427328407764,0.03656385838985443
73,0.010606982745230198,0.0418807789683342,0.006635299418121576,0.036355119198560715
74,0.010599406436085701,0.04166992008686066,0.006764712743461132,0.036689531058073044
75,0.010449696332216263,0.0415029302239418,0.00679139094427228,0.03600037470459938
76,0.01041396614164114,0.041202232241630554,0.00670870766043663,0.03565055504441261
77,0.010403778403997421,0.041108984500169754,0.006578813306987286,0.03593774139881134
78,0.010398159734904766,0.04100184515118599,0.006605598144233227,0.03552989289164543
79,0.01034102775156498,0.04092947021126747,0.006627130322158337,0.036025650799274445
80,0.01036340557038784,0.04096672683954239,0.006653788033872843,0.03573840111494064
81,0.010292211547493935,0.04072628170251846,0.0065969498828053474,0.03586971387267113
82,0.010199356824159622,0.040529605001211166,0.006522323004901409,0.03511885553598404
83,0.010204927064478397,0.04046570882201195,0.006492410320788622,0.03519226238131523
84,0.01033690758049488,0.040688030421733856,0.006431473419070244,0.03582291305065155
85,0.010171058587729931,0.04043816775083542,0.006370398681610823,0.03493589535355568
86,0.010158582590520382,0.0402475968003273,0.006351267918944359,0.03521125391125679
